delays_time,delays
2021-09-04 11:00:16.486838,2.519962
2021-09-04 11:00:16.664064,2.516736
2021-09-04 11:00:16.811855,2.542945
2021-09-04 11:00:16.952705,2.576095
2021-09-04 11:00:16.963624,24.315176
2021-09-04 11:00:17.087513,2.615287
2021-09-04 11:00:17.228210,24.74659
2021-09-04 11:00:17.544793,2.680007
2021-09-04 11:00:17.712166,2.686634
2021-09-04 11:00:17.861113,2.711687
2021-09-04 11:00:17.997879,2.748921
2021-09-04 11:00:18.136707,2.784093
2021-09-04 11:00:18.286274,2.808526
2021-09-04 11:00:18.436835,2.831965
2021-09-04 11:00:18.586759,2.856041
2021-09-04 11:00:18.728468,2.888332
2021-09-04 11:00:18.861357,2.929443
2021-09-04 11:00:19.010648,2.954152
2021-09-04 11:00:19.177765,2.961035
2021-09-04 11:00:19.336590,2.97621
2021-09-04 11:00:19.477861,3.008939
2021-09-04 11:00:19.620095,3.040705
2021-09-04 11:00:19.777572,3.057228
2021-09-04 11:00:19.928123,3.080677
2021-09-04 11:00:20.071798,3.111002
2021-09-04 11:00:20.211410,3.14539
2021-09-04 11:00:20.352535,3.178265
2021-09-04 11:00:20.512089,3.192711
2021-09-04 11:00:20.662812,3.215988
2021-09-04 11:00:20.802935,3.249865
2021-09-04 11:00:20.838222,2.692578
2021-09-04 11:00:20.947596,3.279204
2021-09-04 11:00:21.044323,11.012477
2021-09-04 11:00:21.104827,3.295973
2021-09-04 11:00:21.220708,9.618092
2021-09-04 11:00:21.253526,3.321274
2021-09-04 11:00:21.396113,3.352687
2021-09-04 11:00:21.477635,40.681165
2021-09-04 11:00:21.536890,3.38591
2021-09-04 11:00:21.695927,3.400873
2021-09-04 11:00:21.797802,3.994998
2021-09-04 11:00:21.836474,3.434326
2021-09-04 11:00:21.994396,3.450404
2021-09-04 11:00:22.136703,3.482097
2021-09-04 11:00:22.278031,3.514769
2021-09-04 11:00:22.403874,1.657074
2021-09-04 11:00:22.419277,3.547523
2021-09-04 11:00:22.552107,3.588693
2021-09-04 11:00:22.711691,3.603109
2021-09-04 11:00:22.878027,3.610773
2021-09-04 11:00:23.027916,3.634884
2021-09-04 11:00:23.170550,3.66625
2021-09-04 11:00:23.305104,3.705696
2021-09-04 11:00:23.471680,3.71312
2021-09-04 11:00:23.619527,40.801273
2021-09-04 11:00:23.628411,3.730389
2021-09-04 11:00:23.785504,3.747296
2021-09-04 11:00:23.929283,3.777517
2021-09-04 11:00:24.077329,3.803471
2021-09-04 11:00:24.178349,15.882451
2021-09-04 11:00:24.244700,3.8101
2021-09-04 11:00:24.394378,3.834422
2021-09-04 11:00:24.553322,3.849478
2021-09-04 11:00:24.704122,3.872678
2021-09-04 11:00:25.136353,6.572447
2021-09-04 11:00:25.186842,3.911958
2021-09-04 11:00:25.323263,1.339537
2021-09-04 11:00:25.336400,3.9364
2021-09-04 11:00:25.510786,3.936014
2021-09-04 11:00:25.661715,3.959085
